time,pupil_size,gsr,ppg,gsr_filt,ppg_filt,pupil_size_z,gsr_filt_z,ppg_filt_z,pupil_baseline,delta_pupil,pupil_smoothed
0.0,3.31,0.42,1.0,0.41999999999999965,1.0000000646322718,-0.18585796687739295,0.1903890494749795,1.5661035088140216,,,
0.10000000000002274,3.31,0.42,0.00016770702332071072,0.41999999999999965,0.3011618319466337,-0.18585796687739295,0.1903890494749795,-0.46354578269656554,3.31,0.0,
0.20000000000004547,3.31,0.42,0.0003354626957863136,0.41999999999999965,-0.07988229758662678,-0.18585796687739295,0.1903890494749795,-1.5702195612179914,3.31,0.0,
0.3000000000000682,3.31,0.42,0.0005032183682519165,0.41999999999999965,-0.11200388750650121,-0.18585796687739295,0.1903890494749795,-1.6635109113098718,3.31,0.0,
0.40000000000009095,3.31,0.42,0.0006709740407175195,0.41999999999999965,-0.005738538106951865,-0.18585796687739295,0.1903890494749795,-1.3548824175709762,3.31,0.0,
0.5000000000001137,3.31,0.42,0.0008387297131831224,0.41999999999999965,0.04860885739208079,-0.18585796687739295,0.1903890494749795,-1.1970402337709423,3.31,0.0,0.0
0.6000000000001364,3.31,0.42,0.0010064853856487253,0.41999999999999965,0.024589358111044766,-0.18585796687739295,0.1903890494749795,-1.2668005265225895,3.31,0.0,0.0
0.7000000000001592,3.31,0.42,0.0011742410581143282,0.41999999999999965,-0.010646643117980017,-0.18585796687739295,0.1903890494749795,-1.36913712115239,3.31,0.0,0.0
0.8000000000001819,3.31,0.42,0.0013419967305799312,0.41999999999999965,-0.015019418375245489,-0.18585796687739295,0.1903890494749795,-1.381837056255735,3.31,0.0,0.0
0.9000000000002046,3.31,0.42,0.001509752403045534,0.41999999999999965,-0.00037924915140247943,-0.18585796687739295,0.1903890494749795,-1.339317331800226,3.31,0.0,0.0
1.0000000000002274,3.31,0.42,0.001677508075511137,0.41999999999999965,0.008455862110943005,-0.18585796687739295,0.1903890494749795,-1.3136573485947807,3.31,0.0,0.0
1.1000000000002501,3.31,0.42,0.00184526374797674,0.41999999999999965,0.005798261196642178,-0.18585796687739295,0.1903890494749795,-1.3213758699356914,3.31,0.0,0.0
1.2000000000002728,3.31,0.42,0.002013019420442343,0.41999999999999965,0.0006432172909983954,-0.18585796687739295,0.1903890494749795,-1.3363477628880658,3.31,0.0,0.0
1.3000000000002956,3.31,0.42,0.002180775092907946,0.41999999999999965,-0.0002833588020053522,-0.18585796687739295,0.1903890494749795,-1.3390388356181147,3.31,0.0,0.0
1.4000000000003183,3.31,0.42,0.0023485307653735485,0.41999999999999965,0.0018707396819808008,-0.18585796687739295,0.1903890494749795,-1.3327826460489425,3.31,0.0,0.0
1.500000000000341,3.31,0.42,0.0025162864378391516,0.41999999999999965,0.003448877065864898,-0.18585796687739295,0.1903890494749795,-1.3281992313568223,3.31,0.0,0.0
1.6000000000003638,3.31,0.42,0.0026840421103047547,0.41999999999999965,0.0033294239598248075,-0.18585796687739295,0.1903890494749795,-1.3285461613052756,3.31,0.0,0.0
1.7000000000003865,3.31,0.42,0.0028517977827703573,0.41999999999999965,0.002709342348042101,-0.18585796687739295,0.1903890494749795,-1.3303470762311762,3.31,0.0,0.0
1.8000000000004093,3.31,0.42,0.0030195534552359604,0.41999999999999965,0.0026540461180974894,-0.18585796687739295,0.1903890494749795,-1.3305076741330668,3.31,0.0,0.0
1.900000000000432,3.31,0.42,0.0031873091277015634,0.41999999999999965,0.003088121230227288,-0.18585796687739295,0.1903890494749795,-1.329246981454003,3.31,0.0,0.0
2.0000000000004547,3.31,0.42,0.003355064800167166,0.41999999999999965,0.0034805662413165007,-0.18585796687739295,0.1903890494749795,-1.3281071958763695,3.31,0.0,0.0
2.1000000000004775,3.31,0.42,0.003522820472632769,0.41999999999999965,0.0036259414771053324,-0.18585796687739295,0.1903890494749795,-1.3276849797889811,3.31,0.0,0.0
2.2000000000005002,3.31,0.42,0.003690576145098372,0.41999999999999965,0.0036787777538679744,-0.18585796687739295,0.1903890494749795,-1.327531526376329,3.31,0.0,0.0
2.300000000000523,3.31,0.42,0.003858331817563975,0.41999999999999965,0.003804897774943685,-0.18585796687739295,0.1903890494749795,-1.327165233578584,3.31,0.0,0.0
