onset_idx,offset_idx,onset_time,offset_time,amplitude,duration
3371,3389,13.561485,13.631426,33.56022049987157,0.06994100000000003
3391,3408,13.641418,13.711388,42.52201782606277,0.06996999999999964
3410,3428,13.721382,13.791352,12.272868450366444,0.06996999999999964
3430,3434,13.801349,13.81134,0.2019552239977961,0.009990999999999417
3436,3438,13.821326,13.831322,4.831989903238624,0.009996000000001004
3442,3451,13.849624,13.881281,9.787460395833028,0.03165699999999916
3453,3460,13.891272,13.918952,17.01054084972021,0.02768000000000015
3464,3488,13.931272,14.031186,0.0,0.09991400000000006
3492,3508,14.041657,14.111147,9.888151141644226,0.06949000000000005
3512,3514,14.122214,14.131136,1.0299238903919066,0.008922000000000097
3517,3523,14.143586,14.171131,0.7734526488415435,0.02754499999999993
3526,3528,14.18112,14.191111,4.935485715712284,0.009990999999999417
3530,3539,14.201106,14.231079,37.00789780573871,0.029973000000000027
3542,3544,14.242846,14.251068,9.948186279417973,0.008221999999999952
3546,3570,14.261051,14.361001,33.25886348028146,0.09994999999999976
3572,3574,14.367153,14.370994,9.925856502085853,0.0038409999999995392
3577,3726,14.386271,14.980635,9.825238165052287,0.5943639999999988
3729,3734,14.990626,15.010614,0.08887845633222935,0.019987999999999673
3736,3749,15.02063,15.070589,0.13108077662266118,0.04995899999999942
3752,3762,15.085017,15.12387,10.07011439855576,0.03885299999999958
3766,3766,15.140531,15.140531,0.0,0.0
3768,3787,15.150524,15.220494,20.369684845131996,0.06996999999999964
3789,3837,15.230489,15.420388,0.22461097479865044,0.18989900000000048
3839,3886,15.430383,15.620252,37.09450094016632,0.18986899999999984
3890,3899,15.638573,15.670242,0.7648747675273385,0.031669000000000835
3903,3920,15.690229,15.760168,0.114820250827108,0.06993899999999975
3922,3956,15.76419,15.900113,9.933755363406128,0.13592300000000002
3958,3986,15.910104,16.020039,19.21651893554085,0.10993500000000012
3988,4017,16.030035,16.139971,17.775371254913356,0.10993599999999759
4020,4049,16.159956,16.269892,0.6074513396149521,0.10993599999999759
4051,4091,16.279888,16.439784,37.14893807365158,0.15989599999999982
4093,4101,16.44978,16.479752,0.13851573917789992,0.029972000000000776
4103,4122,16.489745,16.559714,0.7224518807505451,0.06996900000000039
4125,4131,16.576777,16.599684,9.895827504559687,0.02290700000000001
4134,4140,16.609674,16.639677,38.15176273778186,0.030003000000000668
4143,4153,16.649673,16.689639,33.34865064736503,0.039965999999999724
4155,4170,16.699628,16.759578,20.98037934553377,0.059950000000000614
4172,4175,16.761917,16.779591,9.882188269811499,0.017673999999999523
4177,4178,16.781349,16.789581,9.882188269811499,0.008231999999999573
4182,4184,16.801639,16.80957,0.18377706603382263,0.007930999999999244
4187,4189,16.823101,16.82955,0.49429591339601425,0.006448999999999927
4192,4199,16.844563,16.869514,0.45310043036836767,0.024950999999997947
4201,4204,16.87951,16.889501,0.3334080982819704,0.009990999999999417
4206,4208,16.899492,16.909514,4.975878942458307,0.010022000000002862
4212,4213,16.927069,16.929501,9.976997655106471,0.0024319999999988795
4217,4220,16.946491,16.959471,9.82355577171525,0.012979999999998881
4222,4228,16.965913,16.989446,9.77354270466958,0.02353300000000047
4231,4233,16.999441,17.009433,146.0371545189785,0.009992000000000445
4235,4238,17.019449,17.029444,0.25732850599962687,0.009994999999999976
4242,4243,17.048781,17.049432,0.5943071596405347,0.0006509999999977367
4245,4253,17.059417,17.089396,0.5955837892354022,0.029979000000000866
4255,4279,17.099386,17.18934,0.8540257607355881,0.08995400000000231
4281,4284,17.199335,17.209327,26.867413663395293,0.009991999999996892
4286,4303,17.219314,17.28929,0.15361692615073377,0.06997600000000048
4305,4329,17.29928,17.389234,41.925701294074976,0.08995399999999876
4331,4335,17.399229,17.419207,0.2817486690296868,0.019978000000001828
4337,4337,17.424294,17.424294,0.0,0.0
4340,4363,17.439194,17.529153,16.690991582287733,0.08995900000000034
4365,4410,17.539138,17.71902,0.8930405141985441,0.1798819999999992
4412,4473,17.719784,17.968875,9.911603566023008,0.24909099999999995
4475,4478,17.978865,17.988855,0.8615334352188544,0.009990000000001942
4481,4589,17.998851,18.428612,42.33819506367743,0.4297610000000027
4591,4598,18.438602,18.46858,33.74896415077061,0.029977999999999838
4601,4609,18.478572,18.508574,37.84061970951321,0.03000199999999964
4612,4639,18.518811,18.628505,9.949012658550597,0.10969400000000107
4642,4643,18.644073,18.648494,10.415021341312748,0.004421000000000674
4646,4659,18.65848,18.708438,4.771178994755909,0.04995800000000017
4661,4663,18.718433,18.728426,37.54718764434961,0.00999299999999792
4666,4668,18.738412,18.748408,1.1607091969998342,0.009996000000001004
4671,4683,18.758428,18.808389,0.0,0.0499609999999997
4687,4698,18.827413,18.868337,9.82355577171525,0.040924000000000404
4702,4703,18.887869,18.888352,0.8645021688810272,0.00048300000000267573
4707,4710,18.908332,18.918328,16.688233129963162,0.009995999999997451
4712,4715,18.92832,18.938306,0.6907733057957581,0.009986000000001383
4718,4730,18.948301,18.998261,0.3757409346877181,0.04995999999999867
4732,4740,19.001779,19.038256,9.82355577171525,0.036477000000001425
4742,4803,19.040668,19.28811,9.863844007789256,0.2474419999999995
4805,4871,19.298099,19.557943,35.067743907186276,0.2598440000000011
4873,4928,19.567941,19.787811,0.0,0.21987000000000023
4930,4946,19.797806,19.857783,38.570290436681965,0.05997699999999995
4949,4976,19.871104,19.977685,10.029387643321002,0.10658100000000204
4978,5086,19.987706,20.41744,0.4854725172447974,0.42973399999999984
5089,5104,20.427431,20.487415,23.005541927979007,0.05998400000000004
5106,5150,20.497404,20.677285,13.097627895920695,0.17988100000000173
5152,5183,20.686167,20.807208,0.3500228563965502,0.12104099999999818
5185,5264,20.817198,21.127034,0.8768165258479108,0.3098359999999971
5267,5274,21.141384,21.167003,9.885194024398308,0.0256190000000025
