subject,mean_alpha_power,mean_pupil_size,mean_gaze_x,mean_gaze_y,total_trials
sub-01,9.283436720461471e-06,3.135866720209228,-0.06028017633678451,0.09897075529706496,33
sub-02,3.1237620400346314e-06,4.0135565925018595,0.002065352895803863,0.07634339235995828,12
sub-03,4.610030377974926e-06,3.616198785308011,-0.03725816024106387,0.2194309693234037,11
sub-04,8.599097415548284e-06,3.833123185083295,0.09567524835702278,-0.01739878496102705,9
sub-05,3.296807579672375e-06,5.02201216429756,0.026202161371877166,0.15668278645863393,9
sub-06,3.1142282164316696e-06,3.6260489013016635,-0.05483256385869565,0.015532860574342456,9
sub-07,3.547887858386135e-06,4.448095636592431,0.03323957244300439,0.019158165186444115,11
sub-08,3.8718004775781405e-06,4.725708316519568,-0.025144451888487664,0.16927006437899816,9
sub-09,2.6119063658642235e-06,5.093721058245224,0.009262988093581895,0.07657560709979595,12
sub-10,2.398417059014858e-06,1.0288001358447447,-0.0096287451383416,0.06296297341272637,8
sub-11,3.6583368485900724e-06,5.39755379882048,-0.13831727599516125,0.2097261842465358,8
sub-12,3.1396319983055186e-06,4.298654171969455,-0.05703945160873369,0.31187878149359693,10
sub-13,4.05954734212544e-06,1.6515201929563053,-0.03441975072551749,0.04768405118396985,7
sub-14,3.205119930267087e-06,3.787640413424941,0.04635527974943287,0.11237329263241674,11
sub-15,2.4903115162177514e-06,3.2968412294333347,0.0016366095162147793,0.027573245631074578,12
sub-16,2.0859628609682467e-06,4.098506515564226,0.0057971108245771005,0.1753684177096916,7
sub-17,3.6906669062812324e-06,2.96582674035599,-0.03789559515545264,0.010660883403866651,8
sub-18,3.0038630496404643e-06,4.197865521143675,0.006597590614101941,0.08157453573985543,9
sub-19,2.356714671503294e-06,3.965584512337837,-0.025435896315191456,0.08082720434140227,8
sub-20,4.4620079232088434e-06,3.743219588006804,-0.023368670110669877,0.03988125036446673,8
sub-21,2.079899343626653e-06,2.4866749711780622,-0.07966256664720367,0.1433744352232306,9
sub-22,2.6910411698574183e-06,3.457485344653326,0.06410732767333738,0.43241267940165756,6
sub-23,3.964965172359916e-06,2.8434288164665524,-0.012438327615780445,0.007314639794168095,10
