feature,importance
hrv_rmssd,0.24930530941254309
gsr_tonic,0.172412527343373
eeg_beta,0.14226958772734732
eeg_theta,0.11975912212906915
eeg_alpha,0.11578946781113567
gsr_phasic_peaks_count,0.11110886376053636
heart_rate_bpm,0.08935512181599543
