subject,latency,touch_rt
sub-01,0.10615700000000317,1.0050000000000026
sub-01,0.10615700000000317,1.0050000000000026
sub-01,0.04543499999999767,1.0
sub-01,0.04543499999999767,1.0
sub-01,0.05980800000000386,0.9990000000000023
sub-01,0.05980800000000386,0.9990000000000023
sub-01,0.011079999999999757,1.0
sub-01,0.011079999999999757,1.0
sub-01,0.01983399999999591,1.0009999999999977
sub-01,0.01983399999999591,1.0009999999999977
sub-01,0.07069100000001072,1.0159999999999627
sub-01,0.07069100000001072,1.0159999999999627
sub-01,0.08108000000004267,1.0
sub-01,0.08108000000004267,1.0
sub-01,0.08796200000006138,1.0
sub-01,0.08796200000006138,1.0
sub-01,0.002936000000090644,0.9990000000000236
sub-01,0.002936000000090644,0.9990000000000236
sub-01,0.02884700000004159,1.0109999999999673
sub-01,0.02884700000004159,1.0109999999999673
sub-01,0.007236000000034437,0.9990000000000236
sub-01,0.007236000000034437,0.9990000000000236
sub-01,0.05760299999997187,1.0
sub-01,0.05760299999997187,1.0
sub-01,0.37683900000001813,1.0
sub-01,0.37683900000001813,1.0
sub-01,0.016459000000054402,1.0009999999999764
sub-01,0.016459000000054402,1.0009999999999764
sub-02,0.032057000000008884,1.004000000000019
sub-02,0.032057000000008884,1.004000000000019
sub-02,0.04159199999998009,1.0
sub-02,0.04159199999998009,1.0
sub-02,0.05681799999999271,1.0
sub-02,0.05681799999999271,1.0
sub-02,0.035658999999981233,1.0
sub-02,0.035658999999981233,1.0
sub-02,0.005695000000002892,1.0
sub-02,0.005695000000002892,1.0
sub-02,0.1093349999999873,0.9990000000000236
sub-02,0.1093349999999873,0.9990000000000236
sub-02,0.04806199999995897,1.0
sub-02,0.04806199999995897,1.0
sub-02,0.11236299999995936,0.9990000000000236
sub-02,0.11236299999995936,0.9990000000000236
sub-02,0.04805099999998674,1.0009999999999764
sub-02,0.04805099999998674,1.0009999999999764
sub-02,0.05608800000004521,0.9950000000000045
sub-02,0.05608800000004521,0.9950000000000045
sub-02,0.1024009999999862,1.0
sub-02,0.1024009999999862,1.0
sub-02,0.012728000000038264,1.0009999999999764
sub-02,0.012728000000038264,1.0009999999999764
sub-02,0.13775300000008883,1.0
sub-02,0.13775300000008883,1.0
sub-02,0.09667699999999968,1.0
sub-02,0.09667699999999968,1.0
sub-02,0.22412800000006428,1.0
sub-02,0.22412800000006428,1.0
sub-02,0.08659499999998843,0.9990000000000236
sub-02,0.08659499999998843,0.9990000000000236
sub-02,0.0668070000001535,1.0
sub-02,0.0668070000001535,1.0
sub-03,0.011290000000002465,1.002999999999986
sub-03,0.011290000000002465,1.002999999999986
sub-03,0.039433000000002494,0.9989999999999952
sub-03,0.039433000000002494,0.9989999999999952
sub-03,0.14051200000000108,1.0
sub-03,0.14051200000000108,1.0
sub-03,0.05251000000001227,0.9990000000000236
sub-03,0.05251000000001227,0.9990000000000236
sub-03,0.0011359999999740467,1.0009999999999764
sub-03,0.0011359999999740467,1.0009999999999764
sub-03,0.07268099999998867,1.0
sub-03,0.07268099999998867,1.0
sub-03,0.041616999999973814,1.0
sub-03,0.041616999999973814,1.0
sub-03,0.02699099999995269,1.0
sub-03,0.02699099999995269,1.0
sub-03,0.07038299999999253,1.0
sub-03,0.07038299999999253,1.0
sub-03,0.052413000000001375,0.9969999999999573
sub-03,0.052413000000001375,0.9969999999999573
sub-03,0.04382399999997233,1.0
sub-03,0.04382399999997233,1.0
sub-03,0.004241999999976542,1.0
sub-03,0.004241999999976542,1.0
sub-03,0.045697000000018306,1.0
sub-03,0.045697000000018306,1.0
sub-03,0.012629000000060842,1.0
sub-03,0.012629000000060842,1.0
sub-04,0.010770999999991204,1.0090000000000003
sub-04,0.010770999999991204,1.0090000000000003
sub-04,0.14117799999999647,1.0
sub-04,0.14117799999999647,1.0
sub-04,0.07420700000000124,1.0
sub-04,0.07420700000000124,1.0
sub-04,0.013722000000001344,1.0
sub-04,0.013722000000001344,1.0
sub-04,0.02133800000000008,0.9989999999999952
sub-04,0.02133800000000008,0.9989999999999952
sub-04,0.0937059999999974,1.0
sub-04,0.0937059999999974,1.0
sub-04,0.042921999999975924,1.0
sub-04,0.042921999999975924,1.0
sub-04,0.09448599999996077,0.9990000000000236
sub-04,0.09448599999996077,0.9990000000000236
sub-04,0.05129699999997683,1.0009999999999764
sub-04,0.05129699999997683,1.0009999999999764
sub-04,0.08519999999998618,1.011000000000081
sub-04,0.08519999999998618,1.011000000000081
sub-04,0.004732999999987442,1.0
sub-04,0.004732999999987442,1.0
sub-04,0.11439599999994243,1.0
sub-04,0.11439599999994243,1.0
sub-04,0.049304000000006454,1.0
sub-04,0.049304000000006454,1.0
sub-04,0.004181999999900654,1.0
sub-04,0.004181999999900654,1.0
sub-04,0.19981300000017654,1.0
sub-04,0.19981300000017654,1.0
sub-04,0.035348000000112734,0.9990000000000236
sub-04,0.035348000000112734,0.9990000000000236
sub-04,0.014671000000134882,1.0
sub-04,0.014671000000134882,1.0
sub-04,0.07586300000002666,1.0
sub-04,0.07586300000002666,1.0
sub-05,0.10923599999999567,0.5210000000000008
sub-05,0.10923599999999567,0.5210000000000008
sub-05,0.055822000000006256,0.9960000000000093
sub-05,0.055822000000006256,0.9960000000000093
sub-05,0.0058849999999921465,1.0
sub-05,0.0058849999999921465,1.0
sub-05,0.07705899999999133,1.0009999999999906
sub-05,0.07705899999999133,1.0009999999999906
sub-05,0.0037090000000006285,0.9990000000000094
sub-05,0.0037090000000006285,0.9990000000000094
sub-05,0.05949699999999325,1.0009999999999906
sub-05,0.05949699999999325,1.0009999999999906
sub-05,0.08751600000005055,1.0
sub-05,0.08751600000005055,1.0
sub-05,0.016973000000007232,0.9990000000000236
sub-05,0.016973000000007232,0.9990000000000236
sub-05,0.05257700000004206,1.0
sub-05,0.05257700000004206,1.0
sub-05,0.05666099999996277,1.0
sub-05,0.05666099999996277,1.0
sub-05,0.05342900000005102,0.9980000000000473
sub-05,0.05342900000005102,0.9980000000000473
sub-05,0.13371599999993578,0.99899999999991
sub-05,0.13371599999993578,0.99899999999991
sub-05,0.10579200000006495,0.9990000000000236
sub-05,0.10579200000006495,0.9990000000000236
sub-05,0.02903100000003178,1.0
sub-05,0.02903100000003178,1.0
sub-05,0.009906000000000859,1.0009999999999764
sub-05,0.009906000000000859,1.0009999999999764
sub-06,0.11467400000000794,0.9950000000000045
sub-06,0.11467400000000794,0.9950000000000045
sub-06,0.0878230000000002,1.0
sub-06,0.0878230000000002,1.0
sub-06,0.010887999999994236,1.0
sub-06,0.010887999999994236,1.0
sub-06,0.07321199999999806,1.0
sub-06,0.07321199999999806,1.0
sub-06,0.004853999999994585,1.0
sub-06,0.004853999999994585,1.0
sub-06,0.053987000000006446,1.0
sub-06,0.053987000000006446,1.0
sub-06,0.0067940000000135115,1.0
sub-06,0.0067940000000135115,1.0
sub-06,0.09216000000003532,1.0
sub-06,0.09216000000003532,1.0
sub-06,0.05446800000004259,1.0
sub-06,0.05446800000004259,1.0
sub-06,0.1149719999999661,0.9950000000000045
sub-06,0.1149719999999661,0.9950000000000045
sub-06,0.008014000000002852,1.0
sub-06,0.008014000000002852,1.0
sub-06,0.026325999999926353,1.0
sub-06,0.026325999999926353,1.0
sub-06,0.001822999999944841,1.0
sub-06,0.001822999999944841,1.0
sub-06,0.08528499999999894,1.0
sub-06,0.08528499999999894,1.0
sub-06,0.06748600000014449,1.0
sub-06,0.06748600000014449,1.0
sub-06,0.022098000000141838,1.0
sub-06,0.022098000000141838,1.0
sub-06,0.007190000000036889,0.9990000000000236
sub-06,0.007190000000036889,0.9990000000000236
sub-06,0.03265499999997701,1.0
sub-06,0.03265499999997701,1.0
sub-07,0.063432,0.02
sub-07,0.063432,0.02
sub-07,0.020279000000002156,1.0050000000000026
sub-07,0.020279000000002156,1.0050000000000026
sub-07,0.10860899999999418,1.0
sub-07,0.10860899999999418,1.0
sub-07,0.06295199999999568,1.0
sub-07,0.06295199999999568,1.0
sub-07,0.0035229999999941697,1.0
sub-07,0.0035229999999941697,1.0
sub-07,0.07498700000000014,1.0
sub-07,0.07498700000000014,1.0
sub-07,0.06380799999999454,1.0
sub-07,0.06380799999999454,1.0
sub-07,0.12283400000001166,1.0
sub-07,0.12283400000001166,1.0
sub-07,0.04573200000004363,1.0
sub-07,0.04573200000004363,1.0
sub-07,0.12162100000000464,1.0
sub-07,0.12162100000000464,1.0
sub-07,0.028320000000007894,0.9950000000000045
sub-07,0.028320000000007894,0.9950000000000045
sub-07,0.08556699999996908,1.0009999999999764
sub-07,0.08556699999996908,1.0009999999999764
sub-07,0.017410000000040782,0.9990000000000236
sub-07,0.017410000000040782,0.9990000000000236
sub-07,0.11113799999998264,1.0
sub-07,0.11113799999998264,1.0
sub-07,0.009216000000037639,1.0
sub-07,0.009216000000037639,1.0
sub-07,0.056641000000013264,1.0
sub-07,0.056641000000013264,1.0
sub-07,0.02749000000005708,1.0
sub-07,0.02749000000005708,1.0
sub-07,0.08413000000007287,1.0
sub-07,0.08413000000007287,1.0
sub-07,0.025415000000066357,1.0
sub-07,0.025415000000066357,1.0
sub-08,0.06940099999999916,0.9950000000000045
sub-08,0.06940099999999916,0.9950000000000045
sub-08,0.01920299999999031,1.0
sub-08,0.01920299999999031,1.0
sub-08,0.09175299999999709,1.0
sub-08,0.09175299999999709,1.0
sub-08,0.03509499999999832,1.0
sub-08,0.03509499999999832,1.0
sub-08,0.13378099999999904,1.0009999999999906
sub-08,0.13378099999999904,1.0009999999999906
sub-08,0.011166000000002896,1.0
sub-08,0.011166000000002896,1.0
sub-08,0.08168799999998555,0.9980000000000473
sub-08,0.08168799999998555,0.9980000000000473
sub-08,0.2946869999999535,1.0009999999999764
sub-08,0.2946869999999535,1.0009999999999764
sub-08,0.22177299999998468,1.0
sub-08,0.22177299999998468,1.0
sub-08,0.11947199999997338,0.9969999999999573
sub-08,0.11947199999997338,0.9969999999999573
sub-08,0.01317000000005919,1.0
sub-08,0.01317000000005919,1.0
sub-08,0.01685599999996157,1.0
sub-08,0.01685599999996157,1.0
sub-08,0.014499999999998181,0.9990000000000236
sub-08,0.014499999999998181,0.9990000000000236
