subject,blink_rate,alpha_power
sub-01,4.0406761398073945,7.848008441717447e-06
sub-01,59.70149253731328,6.245401511699587e-06
sub-01,0.0,9.828476391196842e-06
sub-01,0.0,8.868757683475064e-06
sub-01,0.0,4.838678910505236e-06
sub-01,18.017116260447423,9.640908834636752e-06
sub-01,3.0004500675101267,8.891231014429781e-06
sub-01,3.0004500675101267,9.25624203391349e-06
sub-01,0.0,7.643766154610911e-06
sub-01,3.0004500675101284,8.484074733177534e-06
sub-01,15.002250337550624,9.108552948185845e-06
sub-01,9.001350202530386,1.0954861239053613e-05
sub-01,12.00120012001199,1.0363846680679112e-05
sub-01,0.0,7.987338439873555e-06
sub-01,0.0,8.875796000190574e-06
sub-01,3.0004500675101284,9.992984679740197e-06
sub-01,12.001200120012008,8.533609938829218e-06
sub-01,0.0,7.309217370706648e-06
sub-01,3.000300030003002,7.502997848280758e-06
sub-01,0.0,9.853881386975037e-06
sub-01,6.000300015000743,8.447775017514062e-06
sub-01,0.0,8.799070512073778e-06
sub-01,0.0,8.936961017091801e-06
sub-01,3.0004500675101244,1.0499607367816904e-05
sub-01,3.0004500675101244,1.0475597187190097e-05
sub-01,3.000300030003002,8.68538825682112e-06
sub-01,6.000900135020249,7.232173331865114e-06
sub-01,3.000300030003002,6.845374326984647e-06
sub-01,0.0,7.2828565797814975e-06
sub-01,6.000900135020267,9.087380932719645e-06
sub-01,3.0004500675101156,8.925226716349679e-06
sub-01,0.0,7.930388928683613e-06
sub-01,3.000600120024008,7.358839909899159e-06
sub-01,3.0001500075003715,7.980108631540219e-06
sub-01,42.86530767765292,8.730014086974977e-06
sub-01,0.0,6.482741688543559e-06
sub-01,0.0,8.254372132735941e-06
sub-01,0.0,1.0615116627553297e-05
sub-01,50.055617352613964,4.9308289556151225e-06
sub-01,0.0,6.030772743532561e-06
sub-01,120.0,6.748357990712203e-06
sub-01,0.0,4.860827796870617e-06
sub-01,0.0,1.068527922449469e-05
sub-01,39.03708523096943,6.331213635698862e-06
sub-01,51.00510051005089,8.991511925862369e-06
sub-01,33.00495074261146,9.26797694270475e-06
sub-01,48.009601920383844,8.730241036198824e-06
sub-01,66.00660066006623,9.886375579004005e-06
sub-01,39.00585087763173,7.929912288741378e-06
sub-01,48.0048004800479,6.66295074212005e-06
sub-01,63.01260252050417,7.016141464163358e-06
sub-01,60.00600060005987,7.639597277396318e-06
sub-01,51.00765114767226,8.573436679379689e-06
sub-01,60.00600060005987,8.721319866641151e-06
sub-01,60.00900135020266,8.601590694579678e-06
sub-01,63.00945141771243,7.805368837481479e-06
sub-01,21.002100210021073,8.042648904049353e-06
sub-01,20.003810249571362,8.164059046989691e-06
sub-01,0.0,3.175311954860307e-06
sub-01,0.0,5.403014734861934e-06
sub-01,0.0,4.357612125877543e-06
sub-02,3.1464268390209367,3.8638194407348345e-06
sub-02,0.0,4.6650172438460625e-06
sub-02,0.0,3.3873249435510967e-06
sub-02,0.0,3.8664371686507645e-06
sub-02,0.0,4.137627476051721e-06
sub-02,120.0,3.5173755174903664e-06
sub-02,3.002852710074572,4.1707344055260565e-06
sub-02,0.0,3.711010199163515e-06
sub-02,3.0004500675101244,3.3944846553363557e-06
sub-02,3.0004500675101244,3.912372906063393e-06
sub-02,3.000300030003002,3.941292723075327e-06
sub-02,0.0,3.6922341566677498e-06
sub-02,9.0013502025304,4.156250341200198e-06
sub-02,0.0,4.071497438988034e-06
sub-02,9.0013502025304,3.6562886444079454e-06
sub-02,3.0004500675101244,4.4369407973133415e-06
sub-02,18.002700405060747,5.310493774277853e-06
sub-02,18.002700405060747,5.22651578750205e-06
sub-02,9.0013502025304,4.760901915979633e-06
sub-02,6.000600060006004,4.666984760830844e-06
sub-02,9.00090009000898,4.070866502648293e-06
sub-02,0.0,3.6434042925226795e-06
sub-02,6.000900135020267,3.998589362633435e-06
sub-02,6.000300015000743,3.839602370601186e-06
sub-02,9.001800360072023,4.465225165346194e-06
sub-02,12.001200120011974,4.009692038982451e-06
sub-02,18.003600720144046,3.873449696807081e-06
sub-02,0.0,4.641880034889977e-06
